RK	Team	League	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG?	OBP	SLG	OPS
1	Boston Red Sox	AL	81	2829	422	752	171	13	116	400	259	627	60	13	0.266	0.331	0.458	0.79
2	Houston Astros	AL	82	2804	426	745	160	9	104	411	292	641	40	13	0.266	0.338	0.44	0.778
3	Seattle Mariners	AL	82	2802	362	729	136	10	98	348	224	640	49	21	0.26	0.322	0.421	0.743
4	Chicago Cubs	NL	79	2769	385	720	146	21	84	369	300	677	35	18	0.26	0.339	0.419	0.758
5	Atlanta Braves	NL	79	2779	391	722	165	13	89	372	262	623	47	20	0.26	0.328	0.425	0.753
6	Cincinnati Reds	NL	80	2763	361	706	126	11	83	349	308	657	37	13	0.256	0.336	0.399	0.735
7	San Francisco Giants	NL	82	2823	339	718	148	16	82	325	251	741	34	16	0.254	0.319	0.405	0.724
8	Cleveland Indians	AL	79	2746	391	697	153	7	112	376	262	645	57	13	0.254	0.324	0.437	0.761
9	Colorado Rockies	NL	81	2751	382	691	130	18	100	368	256	709	42	18	0.251	0.318	0.421	0.739
10	Tampa Bay Rays	AL	79	2675	312	671	117	17	73	290	251	689	47	22	0.251	0.322	0.389	0.711
11	New York Yankees	AL	78	2668	398	664	148	10	127	388	297	709	33	12	0.249	0.327	0.455	0.782
12	Pittsburgh Pirates	NL	80	2706	353	672	133	22	78	340	256	604	30	17	0.248	0.318	0.4	0.718
13	Detroit Tigers	AL	82	2818	329	697	166	22	64	316	223	657	42	16	0.247	0.308	0.39	0.698
14	Milwaukee Brewers	NL	79	2652	343	652	127	6	100	322	252	710	60	13	0.246	0.315	0.411	0.727
15	Los Angeles Angels	AL	81	2767	361	679	119	12	110	343	270	627	38	10	0.245	0.318	0.416	0.734
16	Oakland Athletics	AL	82	2824	378	688	150	10	108	361	259	711	15	14	0.244	0.313	0.419	0.732
17	St. Louis Cardinals	NL	79	2669	340	647	105	3	102	323	253	691	28	22	0.242	0.314	0.399	0.713
18	Los Angeles Dodgers	NL	80	2714	378	657	145	17	109	354	307	670	30	11	0.242	0.323	0.429	0.751
19	Chicago White Sox	AL	80	2714	309	655	125	22	82	302	208	766	64	20	0.241	0.303	0.394	0.697
20	Miami Marlins	NL	82	2810	296	671	123	15	63	277	241	725	17	11	0.239	0.306	0.36	0.666
21	Kansas City Royals	AL	80	2723	283	648	132	10	65	266	215	595	39	16	0.238	0.301	0.365	0.666
22	Washington Nationals	NL	78	2606	323	619	129	10	85	305	280	638	63	17	0.238	0.316	0.393	0.708
23	Toronto Blue Jays	AL	80	2712	358	643	157	11	106	342	268	701	25	15	0.237	0.31	0.42	0.73
24	Philadelphia Phillies	NL	78	2587	340	608	117	12	89	328	304	757	35	12	0.235	0.319	0.393	0.712
25	Texas Rangers	AL	82	2736	359	643	135	13	91	340	297	777	43	17	0.235	0.32	0.394	0.713
26	Minnesota Twins	AL	77	2619	318	614	167	10	78	302	265	643	27	10	0.234	0.307	0.395	0.702
27	San Diego Padres	NL	83	2754	309	642	132	15	69	289	238	779	45	23	0.233	0.297	0.367	0.664
28	New York Mets	NL	78	2634	310	611	125	14	82	304	274	675	32	15	0.232	0.31	0.383	0.693
29	Arizona Diamondbacks	NL	81	2698	360	612	122	29	93	343	290	743	45	18	0.227	0.305	0.397	0.702
30	Baltimore Orioles	AL	80	2743	294	622	119	9	94	286	224	716	28	8	0.227	0.291	0.38	0.67
